intent,text
general_query,"show me my total workout sessions this month"
general_query,"compare my workouts today vs last week"
general_query,"how is my workout frequency trending"
general_query,"how many calories did I burn this week"
general_query,"show me my average calorie burn per workout"
general_query,"compare my calorie burn today vs yesterday"
general_query,"how is my calorie burn trending this month"
general_query,"how much protein have I consumed this week"
general_query,"show me my average daily protein intake"
general_query,"compare my protein intake today vs yesterday"
general_query,"how is my protein intake trending"
general_query,"how many grams of carbohydrates have I eaten today"
general_query,"show me my carb intake this week"
general_query,"compare my carb intake today vs yesterday"
general_query,"how is my carbohydrate intake trending"
general_query,"how many times did I wake up last night"
general_query,"show me my average wake-ups per night"
general_query,"compare my sleep interruptions last week vs this week"
general_query,"how is my sleep duration trending"
general_query,"what is a healthy daily activity goal"
general_query,"show me my total steps today"
general_query,"compare my steps today vs last week"
general_query,"how is my daily step count trending"
general_query,"how many minutes of activity did I log today"
general_query,"show me my average activity per day this month"
general_query,"compare my daily activity today vs yesterday"
general_query,"how is my fitness goal progress"
general_query,"what is my target weight"
general_query,"show me my progress towards weight loss goal"
general_query,"compare my current weight vs target"
general_query,"how is my weight loss trending"
general_query,"how many glasses of water have I drunk today"
general_query,"show me my hydration progress this week"
general_query,"compare my water intake today vs yesterday"
general_query,"how is my hydration trending"
general_query,"what is my average heart rate today"
general_query,"show me my average heart rate for this week"
general_query,"compare my average heart rate today vs yesterday"
general_query,"how is my heart rate trending over the week"
general_query,"what is my target VO2 max"
general_query,"show me my progress towards VO2 max goal"
general_query,"compare my current VO2 max vs target"
general_query,"how is my VO2 max improving"
general_query,"how much exercise should I do per week"
general_query,"show me my recommended weekly activity"
general_query,"compare my weekly exercise today vs last week"
general_query,"how is my weekly fitness trend"
unknown,"show me my stats from the last cardio session"
unknown,"what was my duration for yesterday's workout"
unknown,"how did my cardio performance last week compare to the week before"
unknown,"give me a breakdown of my workouts from last month"
unknown,"what was the longest workout I had in the past year"
unknown,"can you pull my stress readings from last week"
unknown,"show me my mood today"
unknown,"what was my average mood last week"
unknown,"am I more active today than yesterday"
unknown,"check my current heart variability"
unknown,"what is my current blood sugar reading"
unknown,"show me my blood sugar trends"
unknown,"am I in my fat burn zone"
unknown,"what was my average body temperature this week"
unknown,"show me my daily stress chart"
unknown,"how has my menstrual cycle been this month"
unknown,"am I meditating more this week than last"
unknown,"check my heart rate variability trends"
unknown,"what is my sleep efficiency today"
unknown,"how long was my last workout"
unknown,"show me my meditation session length"
unknown,"am I meeting my protein goal today"
unknown,"what is my average carbohydrate intake this week"
unknown,"how is my blood sugar trending after meals"
unknown,"what was my longest run last month"
unknown,"show me my last hike data"
unknown,"what is my current HRV"
unknown,"show me my daily mood entries"
unknown,"am I on track with my medication today"
unknown,"what is my healthy BMI range"
unknown,"show me my hydration level right now"
unknown,"what is my ideal body mass index"
unknown,"show me my last week’s journal entries"
unknown,"am I more efficient in today's workout"
unknown,"how has my average blood sugar changed over the past two weeks"
unknown,"what is my body temperature right now"
unknown,"show me my stress level today"
unknown,"am I getting enough protein today"
unknown,"how long have I been active today"
unknown,"show me my last 5 workouts"
unknown,"am I meeting my step symmetry goal"
unknown,"what is my sleep stage right now"
unknown,"check my current mood score"
unknown,"am I in deep sleep at the moment"
unknown,"show me my last cardio session details"
unknown,"what is my peak heart rate from yesterday"
unknown,"how is my cardio endurance trending"
unknown,"am I in REM sleep right now"
unknown,"show me my last meditation session"
unknown,"how was my mood yesterday"
unknown,"what was my average sleep score last week"
unknown,"show me my last nutrition logs"
unknown,"how has my step symmetry changed over the last month"
unknown,"what was my highest heart rate during my last workout"
unknown,"show me my longest run data"
unknown,"am I hitting my daily step goal"
unknown,"how was my body temperature during sleep"
unknown,"what was my average blood pressure from last month"
unknown,"show me my last week’s activity summary"
unknown,"how has my average resting heart rate changed over the last month"
unknown,"show me my last night’s sleep pattern"
unknown,"am I meeting my water intake goal today"
unknown,"what is my current stress trend"
unknown,"show me my last cardio performance"
unknown,"how many hours of activity did I log yesterday"
unknown,"check my current calorie burn rate"
unknown,"how was my sleep efficiency last night"
unknown,"show me my last month’s hydration data"
unknown,"am I hitting my daily protein target"
unknown,"what was my longest hike in the past year"
unknown,"how is my HRV trending"
unknown,"show me my current body temperature"
unknown,"what is my average heart rate variability"
unknown,"am I in my target heart zone"
unknown,"show me my sleep stage trends this week"
unknown,"how many steps did I take yesterday"
unknown,"show me my last meal macros"
unknown,"am I more active this week than last"
unknown,"what is my average mood this week"
unknown,"show me my last month’s cardio summary"
unknown,"how is my average resting heart rate trending"
unknown,"am I meeting my weekly exercise goal"
unknown,"show me my recent workouts"
unknown,"what was my average sleep last week"
unknown,"how is my stress score trending"
unknown,"am I meeting my step target today"
unknown,"show me my daily calorie intake"
unknown,"what is my peak heart rate today"
unknown,"am I meditating regularly this week"
unknown,"how long did my last high-intensity workout last"
unknown,"show me my recent blood sugar readings"
unknown,"what was my lowest heart rate yesterday"
unknown,"how is my body temperature trending"
unknown,"show me my last week’s hydration summary"
unknown,"what is my average sleep duration this week"
unknown,"am I on track with my fitness goals"
unknown,"show me my last cardio intensity score"
unknown,"how many sets did I complete in my last workout"
unknown,"am I hitting my weekly protein goal"
unknown,"show me my recent VO2 max readings"
unknown,"what is my last workout’s calorie burn"
unknown,"how was my heart rate variability last week"
unknown,"am I getting enough deep sleep"
unknown,"show me my last month’s mood trend"
unknown,"what is my current fasting blood sugar"
unknown,"how is my last night’s sleep quality"
unknown,"am I more active this month than last"
